"match_id","id","total_goals","supremacy","draw_factor","fit_error","expH","expA"
3890455,"bundesliga198",3.15,0.39,1.05,6.69091994368465e-09,1.76717603647936,1.37803549944884
3890457,"bundesliga199",2.34,0.36,1.08,3.09404100900107e-09,1.34922840243388,0.992469703452827
3890265,"bundesliga2",2.39,0.44,1.06,4.04493343256054e-09,1.41540842384804,0.97528378507622
3890281,"bundesliga20",2.49,0.74,1.08,1.05661292425693e-08,1.61547630238764,0.878175704399791
3890461,"bundesliga200",2.28,0.27,1.12,1.38415423885716e-09,1.27359343942087,1.00840137713963
3890460,"bundesliga201",3.08,1.33,1.12,2.91047789792523e-08,2.20593556770243,0.87180658572774
3890459,"bundesliga202",2.68,0.67,1.12,1.27981219642953e-08,1.67287533348174,1.00286398368616
3890458,"bundesliga203",3.07,-1.42,1.07,2.02313421983346e-08,0.822708973753062,2.2470999959992
3890462,"bundesliga204",2.92,-0.15,1.12,4.06519575106143e-09,1.38191281387852,1.53420745151356
3890464,"bundesliga205",3.77,2.1,1.17,1.61158282608993e-08,2.93474099160747,0.835262829338254
3890465,"bundesliga206",3.05,-0.01,1.17,3.74474393518915e-09,1.52018419458786,1.52975738660247
3890463,"bundesliga207",2.67,-0.42,1.09,2.28425398456336e-09,1.12490807644954,1.54738888408438
3890466,"bundesliga208",2.79,-0.64,1.11,3.00002134116255e-09,1.07388859101536,1.7146880954448
3890467,"bundesliga209",2.08,0.15,1.06,1.02703956932638e-08,1.11497954393104,0.967462431830542
3890278,"bundesliga21",3.14,1.55,1.08,3.6771766857799e-09,2.34647455122036,0.792842223756752
3890474,"bundesliga210",3.63,2.51,1.05,1.99116048789303e-08,3.07305621435577,0.56115757069959
3890468,"bundesliga211",3.06,-1.22,1.22,1.40754526220508e-08,0.917685338558225,2.14122060367556
3890470,"bundesliga212",2.6,0.53,1.1,8.01309361269613e-09,1.56390431348382,1.03185119930881
3890469,"bundesliga213",2.89,0.31,1.1,2.49879889498181e-09,1.60062374552976,1.28623492420136
3890472,"bundesliga214",3.37,1.17,1.16,1.94041464967426e-08,2.27105928800603,1.0993352061007
3890471,"bundesliga215",3.49,0.39,1.12,4.37059953427563e-09,1.93828786682724,1.55317886264849
3890473,"bundesliga216",2.74,0.7,1.14,1.94534669900777e-09,1.71868853153368,1.02362665966813
3890477,"bundesliga217",2.58,-0.13,1.09,5.25808460017945e-10,1.22661304115434,1.35672307273637
3890481,"bundesliga218",2.85,-0.27,1.1,4.77566673197418e-09,1.292017125434,1.56211340491531
3890479,"bundesliga219",2.35,0.12,1.12,9.97504035915651e-10,1.23599156851176,1.11782909994585
3890283,"bundesliga22",2.75,-0.2,1.12,3.96156240053438e-09,1.27694328103442,1.47429944112949
3890480,"bundesliga220",2.58,0.08,1.08,5.48579294962198e-09,1.33081961696211,1.2458789973806
3890476,"bundesliga221",3.39,0.84,1.16,6.59098264223127e-09,2.1138331284772,1.27817448322769
3890478,"bundesliga222",2.98,1.02,1.1,3.04121872101978e-09,1.99837429973514,0.982082763164962
3890475,"bundesliga223",3.2,0.66,1.13,6.68433665297008e-09,1.92773566057812,1.26955104345849
3890483,"bundesliga224",2.32,0.02,1.06,1.60858529295955e-09,1.1711534188365,1.15031109677613
3890482,"bundesliga225",2.5,0.82,1.08,4.71993211164469e-09,1.66030521393491,0.837248819286826
3890484,"bundesliga226",2.52,0.11,1.1,6.25785998972598e-10,1.31390316126149,1.20636938252403
3890489,"bundesliga227",3.73,2.63,0.87,1.09354872404284e-08,3.17707084636168,0.5484044473876
3890487,"bundesliga228",2.47,0.01,1.11,1.22472423157754e-09,1.2352221976948,1.22982183292813
3890490,"bundesliga229",2.66,-0.33,1.12,2.74183404016346e-09,1.16872223249728,1.49433593072487
3890280,"bundesliga23",2.75,0.79,1.1,2.14123484926814e-09,1.76692831563066,0.978284170087781
3890486,"bundesliga230",3.15,-0.47,1.13,2.47410007170767e-09,1.34038740188265,1.81360500278331
3890485,"bundesliga231",2.65,-0.18,1.11,4.33684626917877e-09,1.23755350975318,1.41488664980029
3890488,"bundesliga232",3.39,1.31,1.16,8.71934850226385e-09,2.3528971230057,1.03911956102778
3890491,"bundesliga233",3.14,1.62,1.13,1.25113532698045e-08,2.37912202503851,0.763917059291225
3890492,"bundesliga234",2.89,1.07,1.13,6.9185736970757e-09,1.97918929433057,0.911842961041733
3890493,"bundesliga235",2.87,0.05,1.1,1.72254592163131e-09,1.45950073514205,1.40694102876914
3890497,"bundesliga236",2.74,0.57,1.14,2.70440069769925e-09,1.65789255660457,1.08354651900322
3890495,"bundesliga237",3.01,-1.5,1.13,6.71310468947779e-09,0.75659574983266,2.25430824157226
3890499,"bundesliga238",2.74,0.26,1.13,3.27552544275304e-09,1.49811509798463,1.24303212849108
3890496,"bundesliga239",2.17,0.52,1.06,5.49577760915176e-09,1.34792920171849,0.823024827600488
3890282,"bundesliga24",2.71,0.48,1.09,7.67147126215022e-09,1.59825124089525,1.1157660917558
3890494,"bundesliga240",2.9,0.32,1.1,1.65887888455122e-09,1.60968707946538,1.28830058804956
3890498,"bundesliga241",2.88,1.18,1.14,9.00999482553587e-09,2.03136913746247,0.851886413791753
3890501,"bundesliga242",2.99,-1.17,1.15,1.06923512402047e-08,0.907454418840235,2.08006644988265
3890500,"bundesliga243",3.27,0.42,1.15,5.41224901766364e-09,1.84241665246307,1.4245380819334
3890502,"bundesliga244",2.83,0.51,1.09,4.20133419417993e-09,1.6695302124274,1.16006143265197
3890505,"bundesliga245",3.73,2.71,0.93,1.15603579096581e-08,3.21961895686209,0.508426606757546
3890506,"bundesliga246",2.87,-0.24,1.1,9.29675332501139e-09,1.31384609488378,1.5586670459809
3890507,"bundesliga247",3.63,2.09,1.09,2.31002528098547e-08,2.86070234011333,0.767524236393614
3890504,"bundesliga248",2.45,-0.23,1.05,4.90088029747737e-09,1.11259692690316,1.34072103330784
3890508,"bundesliga249",2.4,-0.06,1.05,9.18066945915781e-10,1.17178114019498,1.23106558431155
3890279,"bundesliga25",3.2,0.69,1.17,3.29007825237081e-09,1.94365324828291,1.25772057161624
3890503,"bundesliga250",2.6,0.41,1.09,1.45593141892597e-09,1.50183319307832,1.09622847119842
3890509,"bundesliga251",2.74,0.01,1.09,4.73939431269744e-10,1.37829789358894,1.36333040538044
3890510,"bundesliga252",2.68,0.7,1.12,1.19484358016262e-09,1.68928629648708,0.987246210265273
3890511,"bundesliga253",2.6,1.14,1.02,4.52710640543527e-08,1.86842697964093,0.732656486148079
3890512,"bundesliga254",2.89,0.18,1.12,3.04926592819637e-09,1.53619190056606,1.35764581850035
3890515,"bundesliga255",2.4,0.45,1.11,7.6787642391725e-09,1.4239213108966,0.97313386264206
3890517,"bundesliga256",2.59,-0.35,1.07,3.21954988798514e-09,1.12362446704164,1.46862494077367
3890516,"bundesliga257",3.34,-1.89,1.03,1.29220469530079e-07,0.724744082605318,2.61307797041039
3890514,"bundesliga258",2.99,0.66,1.06,5.51651422140999e-09,1.82389169107938,1.16219785987054
3890513,"bundesliga259",2.85,0.39,1.15,5.24621134128603e-09,1.62396158345517,1.23073564448341
3890284,"bundesliga26",3.39,2.06,1.04,7.88701725839574e-09,2.72761346480593,0.662752771849987
3890519,"bundesliga260",2.54,-0.12,1.09,1.03841370954948e-09,1.20877543397489,1.32831001054654
3890518,"bundesliga261",3.17,-0.43,1.22,3.86509022080455e-09,1.36963192414767,1.79587771929545
3890520,"bundesliga262",3.07,-0.98,1.07,7.44071337015363e-09,1.04550869176284,2.02154133271947
3890522,"bundesliga263",3.22,0.22,1.13,6.47788215804102e-09,1.7211099677824,1.49669481415049
3890526,"bundesliga264",3.51,2.11,1.07,1.15451341165397e-08,2.81029274139457,0.697330152745853
3890525,"bundesliga265",2.37,0.03,1.1,1.44953998639658e-09,1.19932339059232,1.17052897542066
3890524,"bundesliga266",2.63,0.11,1.1,5.09400839704561e-10,1.36695674945556,1.26100803817605
3890521,"bundesliga267",3.08,1.26,1.08,1.013524509545e-08,2.16749834854016,0.908514949742191
3890523,"bundesliga268",3.09,-0.07,1.11,2.91103632366627e-09,1.51196776087349,1.58085956842262
3890528,"bundesliga269",3.33,1.47,1.19,8.56130267069791e-09,2.40187405640611,0.931519409135845
3890285,"bundesliga27",2.94,-0.07,1.12,3.09744809636002e-09,1.4358360223998,1.50484955218733
3890527,"bundesliga270",2.54,0.43,1.04,3.1508275038035e-09,1.48458211772297,1.05541091273967
3890529,"bundesliga271",2.93,-0.1,1.13,2.68585782250294e-09,1.41772943742615,1.51429748688835
3890531,"bundesliga272",2.45,0.63,1.1,2.96038325792652e-09,1.53899876578964,0.911413261009596
3890533,"bundesliga273",2.93,-1.59,1.14,1.00321005561319e-08,0.667635905255529,2.26076356736017
3890532,"bundesliga274",2.63,0.42,1.1,1.90865373377925e-09,1.52440671618995,1.10372953931212
3890534,"bundesliga275",2.82,-0.24,1.08,2.69606526208482e-09,1.28824258741851,1.53105694735714
3890530,"bundesliga276",3.27,-1.02,1.09,2.28921065541264e-08,1.12179789750358,2.14483331188125
3890535,"bundesliga277",3.05,0.75,1.17,4.26138880209922e-09,1.89990547279831,1.15464586053737
3890537,"bundesliga278",2.69,-0.18,1.04,1.85203996462744e-09,1.25398764307451,1.4383511990093
3890536,"bundesliga279",3.35,1.22,1.12,2.33664505184322e-08,2.28544460252726,1.06794397795193
3890286,"bundesliga28",2.86,0.86,1.09,3.61047558579111e-09,1.86060415440392,1.00069918508387
3890538,"bundesliga280",2.74,0.06,1.12,1.21169040239461e-09,1.39926453629687,1.33736582779283
3890541,"bundesliga281",3.43,1.42,1.19,7.35586027323251e-09,2.42322266367131,1.00783480480972
3890539,"bundesliga282",2.56,0.12,1.1,3.12854787115034e-10,1.34036164061576,1.22011328444072
3890542,"bundesliga283",3.31,1.56,1.01,1.00380387003021e-08,2.43525291197357,0.874778441620578
3890543,"bundesliga284",3.16,-0.76,1.07,3.67558011784828e-09,1.20167362998072,1.96019392310076
3890544,"bundesliga285",2.66,0.55,1.05,7.26671947039787e-09,1.60220966004421,1.05615293322311
3890540,"bundesliga286",2.79,1.05,1.09,1.23700874160474e-08,1.92002058410943,0.869406550927414
3890545,"bundesliga287",2.84,0.87,1.05,7.99488979541847e-09,1.85913354076362,0.98474297638356
3890546,"bundesliga288",3.4,0.66,1.13,6.38460800727682e-09,2.02875605409604,1.37370858100042
3890553,"bundesliga289",3.32,-1.36,1.07,5.81924124393249e-09,0.977136912177779,2.33825992953922
3890287,"bundesliga29",3.36,2.4,0.99,8.76786402108505e-09,2.87752359504217,0.478233294806571
3890554,"bundesliga290",3.26,-0.23,1.08,4.24145192870937e-09,1.512724537104,1.74626045107939
3890551,"bundesliga291",2.87,0.06,1.11,6.00160803902803e-09,1.4642923273369,1.4057159050863
3890547,"bundesliga292",3.27,-0.12,1.12,1.46028569843438e-07,1.57693316605469,1.69688593446871
3890555,"bundesliga293",2.78,0.71,1.14,6.74048464958566e-09,1.74500748630693,1.03609870050077
3890548,"bundesliga294",3.08,-1.97,1.12,2.34560487413262e-08,0.551009954984154,2.52416691109426
3890550,"bundesliga295",3.3,0.81,1.07,9.99089672463023e-09,2.05508059796465,1.24118159894302
3890549,"bundesliga296",3.28,0.91,1.09,8.1753723989411e-09,2.09639727955404,1.18760192003028
3890552,"bundesliga297",3.4,0.44,1.15,3.7802397167324e-09,1.9212416537304,1.4774492389546
3890564,"bundesliga298",3.01,0.59,1.1,2.87724757749418e-09,1.80172500555125,1.20819922084564
3890559,"bundesliga299",3.98,2.65,0.77,3.20565580888719e-08,3.31809949171573,0.666184932867103
3890262,"bundesliga3",2.49,0.05,1.1,7.34014332186362e-10,1.27090999499059,1.21637898733378
3890289,"bundesliga30",2.8,0.45,1.1,2.64598086426852e-09,1.62361830281548,1.17287086616536
3890560,"bundesliga300",3.19,-0.64,1.12,7.25662980073893e-09,1.27296496699567,1.91491499262663
3890562,"bundesliga301",3.68,1.98,0.98,1.4577070193396e-08,2.83040407922449,0.853197255487959
3890561,"bundesliga302",3.45,-0.5,1.08,3.2908251206293e-09,1.4747130823503,1.97799713756139
3890563,"bundesliga303",3.32,1.02,1.16,5.37577386726653e-09,2.1679152962085,1.15277933243292
3890558,"bundesliga304",2.9,0.56,1.15,1.75992179115299e-09,1.72882317262926,1.1714905987518
3890557,"bundesliga305",3.21,0.66,1.17,3.56320353791768e-09,1.93377760509654,1.27272716527428
3890556,"bundesliga306",3.62,0.4,1.03,2.59618268417027e-09,2.0092317813686,1.61078942300814
3890292,"bundesliga31",3.16,-1.5,1.06,1.22927153670993e-08,0.829720613909903,2.32901263903455
3890290,"bundesliga32",2.79,0.07,1.08,1.02552749146587e-09,1.42933097109964,1.35943994971298
3890291,"bundesliga33",2.89,-0.62,1.15,7.6515820187997e-09,1.13725139830875,1.75588275579156
3890288,"bundesliga34",3.05,1.89,1.07,1.20826792562621e-08,2.46839574138368,0.58303780168928
3890294,"bundesliga35",3.18,0.59,1.14,4.5300803526809e-09,1.88691640901657,1.29625499136811
3890293,"bundesliga36",2.84,0.84,1.08,6.01505128624159e-09,1.8425343460902,1.00126551468008
3890295,"bundesliga37",3.09,0.27,1.12,4.8837796512442e-09,1.68426627685355,1.40992914419903
3890296,"bundesliga38",3.07,-1.93,1.09,1.52491581856241e-08,0.568080633102366,2.50120188867815
3890299,"bundesliga39",2.63,0.13,1.09,2.61906053200547e-09,1.382160137908,1.25255395391425
3890261,"bundesliga4",2.77,1.01,1.05,5.1694606915146e-09,1.88718716839337,0.880466797364415
3890297,"bundesliga40",3.1,0.14,1.17,4.34076648088368e-09,1.62284347979112,1.47803496361673
3890300,"bundesliga41",2.85,0.56,1.15,1.0801557980474e-08,1.70604677598646,1.14474140596361
3890298,"bundesliga42",2.89,0.92,1.13,7.52146404619449e-09,1.90433738240848,0.987529264673442
3890302,"bundesliga43",2.63,0.46,1.08,1.44585273864745e-09,1.54126920311392,1.08598582911767
3890301,"bundesliga44",3,0.92,1.09,2.03790411102868e-08,1.95735664983711,1.04153567071004
3890303,"bundesliga45",3.1,0.19,1.13,4.5672139818414e-09,1.64587199747458,1.45720615856564
3890305,"bundesliga46",3.17,1.85,1,1.21895407369943e-08,2.5115257617529,0.661875570378323
3890307,"bundesliga47",2.53,-0.17,1.04,2.42940020314147e-09,1.1792814471099,1.34801028596525
3890306,"bundesliga48",2.46,0.14,1.03,4.7988099558864e-10,1.30333933203996,1.15964383237626
3890304,"bundesliga49",2.44,0.23,1.08,9.65432706914758e-10,1.33354562657032,1.1063730871227
3890260,"bundesliga5",3.16,1.34,1.1,1.71636165642676e-08,2.2533953357109,0.909589081844052
3890309,"bundesliga50",2.99,-0.22,1.1,4.48307263230393e-08,1.3840185225259,1.602992870367
3890310,"bundesliga51",3.39,-1.59,1.07,1.81826225005079e-08,0.901623322358356,2.48937695913883
3890312,"bundesliga52",2.98,1.23,1.06,5.39217481383144e-09,2.10481747145726,0.879683728623082
3890308,"bundesliga53",2.61,0.45,1.09,1.04190210735242e-09,1.52984970369479,1.0783155582767
3890311,"bundesliga54",3.22,0.54,1.15,4.34066341278973e-09,1.88423541374058,1.34040234778706
3890313,"bundesliga55",2.37,0.44,1.04,5.19496710061557e-09,1.40815563909202,0.963557004644715
3890314,"bundesliga56",2.86,0.23,1.08,4.81934462848273e-09,1.5453505786168,1.31531142897396
3890317,"bundesliga57",2.74,-0.07,1.04,1.21646202850721e-09,1.33529488156058,1.40814134447076
3890316,"bundesliga58",3.16,-1.94,1.01,9.50748985133342e-09,0.611318169427557,2.54824629427331
3890318,"bundesliga59",3.05,0.48,1.14,3.59917212809565e-09,1.76574555100041,1.28792664906455
3890263,"bundesliga6",2.61,0.59,1.08,2.06635981467693e-09,1.59945096405526,1.01131382658783
3890315,"bundesliga60",2.88,-0.58,1.06,6.43288089134339e-09,1.1462328177385,1.72882395230268
3890319,"bundesliga61",3.09,1.37,1.09,1.16109478375059e-08,2.23217015093948,0.86177467863158
3890321,"bundesliga62",3.46,2.44,0.98,4.01279011255547e-08,2.94984588284951,0.508225369420645
3890320,"bundesliga63",2.84,0.56,1.11,3.52497497608785e-09,1.70208696178648,1.14000344034994
3890322,"bundesliga64",2.47,-0.19,1.05,7.63614105490051e-10,1.13788184425278,1.33232207990246
3890325,"bundesliga65",2.88,0.22,1.1,2.25165967669132e-08,1.54676781293585,1.33173809885642
3890324,"bundesliga66",2.5,0.31,1.1,3.18035313523391e-09,1.40242477116804,1.09655733471469
3890327,"bundesliga67",3.3,0.14,1.13,1.43382495243278e-08,1.72070779620444,1.57995117154641
