"match_id","id","PSCH_prob","PSCD_prob","PSCA_prob","BbAvH_prob","BbAvD_prob","BbAvA_prob","BbAv>2.5_prob","BbAv<2.5_prob"
3879614,"seriea120",0.350106668607256,0.303498040897931,0.346395290494812,0.346911355071276,0.299705063083729,0.353383581844994,0.433766233766234,0.566233766233766
3879617,"seriea121",0.219581557906832,0.279638052377077,0.500780389716091,0.194741095294337,0.266401442158264,0.538857462547399,0.481578947368421,0.518421052631579
3879618,"seriea122",0.620675696582945,0.249222722157346,0.130101581259709,0.594233849439402,0.256273358248799,0.149492792311799,0.446475195822454,0.553524804177546
3879621,"seriea123",0.343888028451787,0.299718923879998,0.356393047668216,0.361342127903642,0.300544880986521,0.338112991109837,0.424870466321243,0.575129533678757
3879622,"seriea124",0.282367346329299,0.316069255407312,0.401563398263389,0.337878437716663,0.314305523457361,0.347816038825976,0.376558603491272,0.623441396508728
3879623,"seriea125",0.610044523597507,0.248023152270704,0.14193232413179,0.636828396951938,0.224851732573078,0.138319870474984,0.528947368421053,0.471052631578947
3879619,"seriea126",0.460008357709987,0.284830756372754,0.255160885917259,0.466150556062391,0.284169858500497,0.249679585437112,0.468421052631579,0.531578947368421
3879626,"seriea127",0.790277195713345,0.148476321618871,0.0612464826677842,0.790974497122689,0.146703152480251,0.0623223503970602,0.60506329113924,0.39493670886076
3879624,"seriea128",0.680218128659773,0.208851621592766,0.11093024974746,0.640590371103881,0.226811901730561,0.132597727165559,0.510526315789474,0.489473684210526
3879625,"seriea129",0.460248245861698,0.276929029289666,0.262822724848637,0.442571708752145,0.285272125520961,0.272156165726894,0.446475195822454,0.553524804177546
3878559,"seriea13",0.569801552147597,0.254560693426979,0.175637754425424,0.541758691714023,0.269331463880686,0.188909844405291,0.436031331592689,0.563968668407311
3879620,"seriea130",0.108950728320115,0.189873512991148,0.701175758688738,0.129003923058205,0.207933954929343,0.663062122012452,0.577319587628866,0.422680412371134
3879628,"seriea131",0.616226120593125,0.231631094974721,0.152142784432154,0.603342190254708,0.242883907358946,0.153773902386346,0.49868073878628,0.50131926121372
3879627,"seriea132",0.577216373118174,0.271819344681689,0.150964282200138,0.581217968446829,0.259557613306392,0.159224418246778,0.4375,0.5625
3879631,"seriea133",0.411856537743004,0.307278545400736,0.28086491685626,0.434177391196873,0.301435258856428,0.264387349946699,0.403061224489796,0.596938775510204
3879633,"seriea134",0.305558801026658,0.30366679606674,0.390774402906602,0.32173319686114,0.293756397134084,0.384510406004776,0.45,0.55
3879629,"seriea135",0.371122408596913,0.29334226308259,0.335535328320497,0.369741311732427,0.295793049385942,0.33446563888163,0.480211081794195,0.519788918205805
3879634,"seriea136",0.598429681942051,0.248461943894928,0.153108374163021,0.599807782794558,0.250713306035821,0.149478911169622,0.461942257217848,0.538057742782152
3879630,"seriea137",0.117590546642329,0.240657123643001,0.64175232971467,0.148048027753373,0.255104262876109,0.596847709370518,0.43864229765013,0.561357702349869
3879632,"seriea138",0.666799486198128,0.217338191731984,0.115862322069888,0.635905150893307,0.227764104526689,0.136330744580004,0.545931758530184,0.454068241469816
3879635,"seriea139",0.609647522101059,0.232040782643666,0.158311695255275,0.568411655498094,0.254489936912015,0.177098407589891,0.530343007915567,0.469656992084433
3878552,"seriea14",0.131721688950674,0.247185537199628,0.621092773849698,0.204867488848071,0.271582261873524,0.523550249278405,0.465608465608466,0.534391534391534
3879636,"seriea140",0.248377961043367,0.287826225444373,0.46379581351226,0.261180183590778,0.283010169084932,0.45580964732429,0.464379947229552,0.535620052770449
3879637,"seriea141",0.277687120231464,0.30161093366679,0.420701946101746,0.2719269493728,0.294728277425798,0.433344773201402,0.41025641025641,0.58974358974359
3879638,"seriea142",0.596837868079809,0.243486095435544,0.159676036484647,0.585887783937701,0.244623249994607,0.169488966067692,0.510582010582011,0.48941798941799
3879639,"seriea143",0.377249054827591,0.29903888492431,0.323712060248098,0.344021521944226,0.308162601090105,0.347815876965669,0.432291666666667,0.567708333333333
3879644,"seriea144",0.556167340241606,0.264555275358169,0.179277384400225,0.52695941301533,0.273350704157808,0.199689882826862,0.447643979057592,0.552356020942408
3879645,"seriea145",0.120204204835724,0.220689517642217,0.659106277522058,0.131020041878552,0.218366736464254,0.650613221657194,0.525065963060686,0.474934036939314
3879642,"seriea146",0.189893697886822,0.277578323256657,0.532527978856521,0.186920607327471,0.27154369030094,0.541535702371589,0.424870466321243,0.575129533678757
3879646,"seriea147",0.641431759841554,0.226126864644603,0.132441375513843,0.645252351167041,0.220586268887337,0.134161379945622,0.530343007915567,0.469656992084433
3879640,"seriea148",0.317325310471192,0.293573415974846,0.389101273553962,0.307437669551738,0.299654437411187,0.392907893037075,0.421188630490956,0.578811369509044
3879643,"seriea149",0.42607558309464,0.287382358099024,0.286542058806337,0.394615852651175,0.296889669706213,0.308494477642612,0.447643979057592,0.552356020942408
