"match_id","id","total_goals","supremacy","draw_factor","expH","expA"
3890417,"bundesliga160",3.36,-1.2,1.09,1.08087744861616,2.27792383952651
3890420,"bundesliga161",2.99,-0.41,1.15,1.29144638420575,1.69678009549573
3890419,"bundesliga162",3.06,0.91,1.08,1.9832716776912,1.07368004104117
3890421,"bundesliga163",2.91,0.18,1.09,1.54709270691822,1.36580566432428
3890426,"bundesliga164",2.87,0.57,1.09,1.72085298405093,1.14917018444861
3890424,"bundesliga165",2.64,-0.3,1.09,1.16923850540813,1.46620222618544
3890422,"bundesliga166",3.31,1.98,1.23,2.6453631780841,0.66463801339909
3890427,"bundesliga167",3.25,1.82,1.01,2.532753789848,0.712924731319485
3890423,"bundesliga168",2.87,0.67,1.09,1.77154755214,1.10160186906871
3890425,"bundesliga169",2.6,0.11,1.1,1.35727141440163,1.24367935190268
3890275,"bundesliga17",2.94,-1.25,1.1,0.8441700993766,2.09155810943465
3890428,"bundesliga170",3.78,2.73,0.85,3.25274372200911,0.525235181539843
3890429,"bundesliga171",2.92,1.08,1.1,1.99889360889826,0.916418174973116
3890430,"bundesliga172",3.33,0.94,1.1,2.13565296735345,1.19725905013437
3890433,"bundesliga173",3.17,-0.14,1.16,1.51501735227493,1.65636898232676
3890434,"bundesliga174",2.69,0.01,1.12,1.34993167566833,1.34410813148479
3890435,"bundesliga175",2.94,-1.15,1.12,0.896229179646049,2.04727929308027
3890436,"bundesliga176",2.22,0.17,1.07,1.19745357439663,1.02672237468393
3890431,"bundesliga177",2.92,-0.94,1.1,0.989934634708125,1.93240144285375
3890432,"bundesliga178",3.02,0.16,1.15,1.58827929249715,1.42695226095145
3890438,"bundesliga179",2.46,-0.07,1.1,1.19638908632525,1.26659038801531
3890276,"bundesliga18",2.85,0.81,1.13,1.82990542414236,1.01887317811398
3890437,"bundesliga180",2.49,0.5,1.03,1.49832962803207,0.994972714686068
3890439,"bundesliga181",2.76,-0.04,1.15,1.36292749313963,1.39830027140201
3890444,"bundesliga182",2.64,-0.61,1.14,1.01601799561094,1.6215218642623
