"match_id","id","total_goals","supremacy","phi","cov_lambda","fit_error","expH","expA"
3754115,"premier461",3.03,1.4,0.17,0.28,7.3271683633103e-08,2.22,0.81
3754116,"premier698",2.5,-0.16,0.29,0.09,1.01292592799822e-08,1.17,1.33
3754117,"premier537",2.72,-1.09,0.22,0.03,1.31855444341895e-07,0.82,1.9
3754118,"premier684",2.96,1.38,0.18,0.24,1.78663051171073e-07,2.17,0.79
3754119,"premier480",2.67,0.08,0.29,0.1,3.00609482737824e-08,1.37,1.3
3754120,"premier625",2.46,0.78,0.25,0.14,5.98711465535242e-08,1.62,0.84
3754121,"premier644",2.46,0.07,0.29,0.1,6.24662485956545e-08,1.26,1.19
3754122,"premier577",2.24,-0.02,0.31,0.08,1.15564545599123e-08,1.11,1.13
3754123,"premier753",3.12,0.81,0.22,0.09,8.25925338348757e-08,1.97,1.15
3754124,"premier680",2.68,0.53,0.27,0.12,6.08296068442477e-08,1.6,1.07
3754125,"premier593",2.87,0.88,0.25,0.14,2.02394661569611e-07,1.87,0.99
3754126,"premier471",3.28,1.28,0.18,0.42,3.46177515235146e-08,2.28,1
3754127,"premier626",2.62,-0.09,0.29,0.09,1.4405835451564e-08,1.27,1.36
3754128,"premier381",2.56,0.67,0.25,0.13,7.46767911573016e-08,1.62,0.95
3754129,"premier410",2.83,0.74,0.24,0.06,7.95295744929528e-08,1.79,1.05
3754130,"premier565",2.49,0.57,0.27,0.13,5.77012112524539e-08,1.53,0.96
3754131,"premier406",2.71,0.05,0.28,0.1,5.15959438639035e-08,1.38,1.33
3754132,"premier730",2.52,-0.12,0.28,0.09,2.32540953412695e-08,1.2,1.32
3754133,"premier474",2.47,0.5,0.26,0.12,5.05691483251418e-08,1.48,0.98
3754134,"premier747",2.77,-0.21,0.28,0.08,2.51967426385803e-08,1.28,1.49
3754135,"premier525",2.83,-0.88,0.25,0.02,2.50265903578625e-08,0.98,1.86
3754136,"premier544",2.59,0.53,0.28,0.09,7.1381208859057e-08,1.56,1.03
3754137,"premier706",2.62,-0.14,0.28,0.09,2.92812408546253e-08,1.24,1.38
3754138,"premier386",2.43,0.17,0.29,0.1,8.98709958711624e-09,1.3,1.13
3754139,"premier637",2.27,-0.17,0.3,0.07,4.72704922872702e-08,1.05,1.22
3754140,"premier580",2.93,0.09,0.28,0.11,6.8104823063395e-08,1.51,1.42
