"match_id","id","total_goals","supremacy","phi","cov_lambda","fit_error","expH","expA"
3901254,"ligue1377",3.17,-0.63,0.23,0.02,9.17441732762453e-08,1.27,1.9
3901255,"ligue1371",2.58,-0.96,0.24,0.02,9.50259062555304e-08,0.81,1.77
3901256,"ligue1375",3.09,1.16,0.21,0.19,7.19725633988148e-08,2.12,0.97
3901257,"ligue1379",2.34,0.06,0.3,0.09,7.80232778922824e-09,1.2,1.14
3901258,"ligue1373",2.82,-0.78,0.24,0.05,5.7079651952725e-08,1.02,1.8
3901259,"ligue1380",3.35,-0.93,0.22,0.03,6.31124793498007e-08,1.21,2.14
3901260,"ligue1374",2.9,-0.06,0.28,0.09,6.13935825413512e-08,1.42,1.48
3901261,"ligue1376",4.21,3.94,0.16,1.97,0.0784931299574291,4.08,0.14
3901262,"ligue1372",2.96,-0.05,0.28,0.09,5.97659172454626e-08,1.45,1.51
3901263,"ligue1378",2.74,0.68,0.26,0.13,6.9878533428072e-08,1.71,1.03
